iter	Logloss
0	0.6618677385
1	0.6318789731
2	0.6069291877
3	0.5885730376
4	0.5752703047
5	0.5651624638
6	0.5513589262
7	0.5404477027
8	0.5289236776
9	0.5193895381
10	0.5113135577
11	0.5039537635
12	0.4971518757
13	0.491765909
14	0.4873952796
15	0.482747493
16	0.4791604435
17	0.4757712089
18	0.4728231467
19	0.4709444102
20	0.4687663899
21	0.4673469799
22	0.4656799166
23	0.4638986746
24	0.4626552265
25	0.4608664727
26	0.4592830814
27	0.4575400587
28	0.4561026262
29	0.4548958347
30	0.4535879954
31	0.4520062565
32	0.4509876311
33	0.4500192766
34	0.4490739244
35	0.4485588273
36	0.4478907197
37	0.4470805532
38	0.4461095179
39	0.4446827052
40	0.4438938927
41	0.4429995738
42	0.4423547865
43	0.4417289795
44	0.4404985812
45	0.4398324735
46	0.4386736899
47	0.4381752688
48	0.4375315972
49	0.4368443657
50	0.4364611855
51	0.4357174114
52	0.4352224133
53	0.4347919769
54	0.4341902199
55	0.433486679
56	0.4329537088
57	0.4324523832
58	0.4318157507
59	0.4311131687
60	0.4308982599
61	0.4299040697
62	0.42968188
63	0.4291108309
64	0.4285780968
65	0.4279919493
66	0.4274125397
67	0.4270713474
68	0.4265907555
69	0.4257749054
70	0.4250224898
71	0.4243526831
72	0.4239396291
73	0.4233940127
74	0.4226385869
75	0.4218585342
76	0.420990058
77	0.4206995843
78	0.4200656585
79	0.4195619711
80	0.4186778328
81	0.4180031225
82	0.4175984537
83	0.4171336885
84	0.4166186889
85	0.4161253202
86	0.4158234749
