iter	Passed	Remaining
0	2	317
1	3	274
2	4	251
3	6	234
4	6	211
5	8	215
6	9	208
7	10	200
8	11	194
9	12	189
10	14	198
11	17	214
12	19	212
13	20	208
14	21	203
15	22	199
16	23	195
17	25	196
18	26	194
19	27	191
20	28	187
21	30	187
22	31	183
23	32	180
24	33	177
25	35	178
26	36	176
27	37	174
28	38	171
29	39	168
30	40	165
31	41	162
32	42	160
33	43	158
34	44	156
35	45	155
36	46	153
37	47	151
38	49	149
39	50	147
40	51	145
41	52	144
42	53	142
43	54	140
44	55	138
45	56	137
46	57	135
47	58	134
48	60	134
49	61	133
50	62	131
51	63	129
52	65	128
53	66	127
54	67	125
55	68	124
56	69	123
57	70	121
58	71	120
59	73	119
60	74	118
61	75	116
62	76	115
63	77	113
64	78	112
65	79	110
66	80	109
67	81	107
68	82	106
69	83	105
70	84	103
71	85	102
72	86	100
73	87	99
74	88	98
75	89	96
76	90	95
77	92	94
78	93	93
79	94	92
80	95	90
81	96	89
82	97	87
83	98	86
84	99	85
85	100	84
86	101	82
